Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
17,2015-16,"24,497","2,359","1,448","1,540","1,494","1,540","1,566","1,423","1,466","1,702","1,778","2,095","2,229","1,754","2,103","12,252",50,"12,245",50,607,2.5,"18,923",77.2,"3,656",14.9,512,2.1,799,3.3,"4,164",17,"2,280",9.3,"19,222",78.5,68.0%
18,2015-16,"16,991","1,437","1,112","1,237","1,170","1,321","1,281","1,311","1,036","1,171","1,332","1,168","1,301","1,073","1,041","8,338",49.1,"8,653",50.9,213,1.3,"14,842",87.4,"1,225",7.2,295,1.7,416,2.4,"3,052",18,757,4.5,"12,803",75.4,60.4%
19,2015-16,"24,062","1,976","1,871","1,878","1,892","1,948","1,904","1,879","1,577","1,666","1,776","1,740","1,394","1,053","1,508","11,479",47.7,"12,583",52.3,"1,715",7.1,"11,410",47.4,"10,178",42.3,392,1.6,367,1.5,"4,883",20.3,"2,748",11.4,"19,787",82.2,77.2%
20,2015-16,"52,932","3,778","3,984","4,362","4,164","4,157","4,173","3,836","3,898","3,834","3,745","3,646","3,941","2,718","2,696","25,545",48.3,"27,387",51.7,"22,481",42.5,"1,652",3.1,"13,835",26.1,499,0.9,"14,465",27.3,"7,785",14.7,"12,203",23.1,"38,206",72.2,64.0%
21,2015-16,"36,565","2,753","2,199","2,270","2,233","2,279","2,086","2,119","2,901","2,875","2,854","3,547","3,425","2,465","2,559","17,780",48.6,"18,785",51.4,"8,905",24.4,"5,643",15.4,"9,145",25,574,1.6,"12,298",33.6,"6,549",17.9,"5,560",15.2,"24,611",67.3,62.2%
22,2015-16,"35,775","2,772","2,745","2,903","2,856","2,966","2,839","2,758","2,063","2,087","2,129","2,589","2,581","2,186","2,301","17,618",49.2,"18,157",50.8,"6,694",18.7,"12,065",33.7,"5,430",15.2,603,1.7,"10,983",30.7,"5,758",16.1,"3,450",9.6,"23,484",65.6,53.5%
23,2015-16,"9,952",827,727,811,781,761,749,685,938,856,975,397,468,433,544,"4,646",46.7,"5,306",53.3,100,1,"7,550",75.9,"2,072",20.8,131,1.3,99,1,"2,345",23.6,444,4.5,"8,655",87,81.2%
24,2015-16,"60,556","3,688","5,123","5,209","5,211","5,128","4,970","4,748","4,206","4,228","4,184","3,897","3,648","2,974","3,342","28,554",47.2,"32,002",52.8,"11,971",19.8,"1,741",2.9,"37,704",62.3,589,1,"8,551",14.1,"9,619",15.9,"12,847",21.2,"42,768",70.6,58.8%
25,2015-16,"38,587","3,033","2,830","2,990","2,970","3,075","2,801","2,706","2,709","2,572","2,522","3,151","2,732","2,331","2,165","18,952",49.1,"19,635",50.9,"18,548",48.1,"3,105",8,"11,068",28.7,540,1.4,"5,326",13.8,"5,443",14.1,"6,516",16.9,"25,841",67,46.5%
26,2015-16,"32,780","1,661","1,805","1,857","1,890","1,965","1,813","1,779","2,018","1,904","1,976","4,138","3,773","3,212","2,989","15,976",48.7,"16,804",51.3,"16,957",51.7,"3,886",11.9,"5,557",17,631,1.9,"5,749",17.5,"4,475",13.7,"2,103",6.4,"18,468",56.3,31.7%
27,2015-16,"46,045","3,248","3,514","3,631","3,732","3,766","3,564","3,531","3,598","3,657","3,594","3,096","2,706","2,253","2,155","21,966",47.7,"24,079",52.3,"10,560",22.9,"11,220",24.4,"17,449",37.9,"2,045",4.4,"4,771",10.4,"7,860",17.1,"4,337",9.4,"34,423",74.8,57.4%
28,2015-16,"42,337","3,107","2,933","2,884","2,897","2,848","2,699","2,633","2,458","2,429","2,396","3,967","4,099","3,485","3,502","20,826",49.2,"21,511",50.8,"12,142",28.7,"9,907",23.4,"11,399",26.9,"2,031",4.8,"6,858",16.2,"6,294",14.9,"3,826",9,"28,001",66.1,48.3%
29,2015-16,"28,007","2,262","2,382","2,315","2,424","2,614","2,519","2,359","2,244","2,265","2,233","1,215","1,221",957,997,"13,649",48.7,"14,358",51.3,"4,218",15.1,"18,209",65,"4,077",14.6,"1,016",3.6,487,1.7,"4,535",16.2,"1,949",7,"20,127",71.9,49.7%
30,2015-16,"41,300","3,177","3,179","3,216","3,107","3,238","3,030","3,052","3,215","3,324","3,186","2,870","2,651","2,023","2,032","20,414",49.4,"20,886",50.6,"9,087",22,"2,826",6.8,"22,127",53.6,752,1.8,"6,508",15.8,"5,956",14.4,"6,889",16.7,"28,330",68.6,57.5%
31,2015-16,"62,638","4,124","4,520","4,708","4,745","4,698","4,627","4,497","4,207","4,305","4,311","4,920","4,750","4,310","3,916","30,469",48.6,"32,169",51.4,"5,343",8.5,"8,142",13,"17,368",27.7,"1,173",1.9,"30,612",48.9,"14,368",22.9,"3,125",5,"34,141",54.5,42.9%
32,2015-16,"13,104","1,279",930,979,983,"1,033","1,014","1,050","1,115","1,100","1,189",553,851,500,528,"6,419",49,"6,685",51,258,2,"2,291",17.5,"10,245",78.2,80,0.6,230,1.8,"2,463",18.8,"2,382",18.2,"11,171",85.2,79.5%
75,2015-16,"23,963",317,"1,411","1,632","1,878","1,815","1,702","1,644","1,500","1,508","1,589","1,998","1,733","1,495","3,741","6,542",27.3,"17,421",72.7,"1,700",7.1,"8,968",37.4,"9,575",40,468,2,"3,252",13.6,"23,515",98.1,"4,715",19.7,"15,650",65.3,70.9%
79,2015-16,"5,411",0,0,0,0,1,1,2,5,32,149,493,"3,904",126,698,"1,929",35.6,"3,482",64.4,516,9.5,"2,127",39.3,"2,274",42,111,2.1,383,7.1,910,16.8,755,14,"2,555",47.2,69.5%
84,2015-16,"95,172",510,"10,575","10,948","10,582","8,753","7,229","7,804","9,046","7,517","6,150","5,849","4,391","3,346","2,472","48,395",50.9,"46,777",49.1,"2,308",2.4,"52,225",54.9,"34,871",36.6,"1,833",1.9,"3,935",4.1,"15,344",16.1,"5,999",6.3,"72,908",76.6,67.5%
1,2016-17,"11,772",827,850,907,889,859,834,808,828,833,836,675,988,817,821,"5,748",48.8,"6,024",51.2,"2,594",22,"1,901",16.1,"4,855",41.2,363,3.1,"2,059",17.5,"2,555",21.7,"1,065",9,"7,265",61.7,60.3%
2,2016-17,"63,805","2,526","3,051","2,913","2,832","2,803","2,935","2,770","2,671","2,527","2,478","10,188","9,404","8,654","8,053","33,447",52.4,"30,357",47.6,"14,558",22.8,"9,837",15.4,"20,712",32.5,"2,749",4.3,"15,949",25,"10,655",16.7,"5,462",8.6,"32,855",51.5,47.2%
3,2016-17,"22,706","1,084","1,405","1,511","1,462","1,436","1,360","1,289","1,484","1,426","1,305","2,284","2,501","2,123","2,036","12,173",53.6,"10,532",46.4,"1,824",8,"5,144",22.7,"7,477",32.9,"1,135",5,"7,126",31.4,"3,977",17.5,"1,170",5.2,"10,827",47.7,44.5%
4,2016-17,"13,568",941,922,"1,004","1,019","1,008","1,010","1,022",984,970,"1,003",974,926,900,885,"6,905",50.9,"6,663",49.1,"1,035",7.6,"3,325",24.5,"8,263",60.9,321,2.4,624,4.6,"3,212",23.7,"1,416",10.4,"10,833",79.8,75.7%
5,2016-17,"11,966","1,113",721,797,810,839,797,760,782,769,780,"1,096",947,859,896,"5,687",47.5,"6,279",52.5,456,3.8,"5,943",49.7,"4,755",39.7,284,2.4,528,4.4,"2,689",22.5,"1,055",8.8,"9,788",81.8,76.5%
6,2016-17,"23,639","1,800","1,755","1,865","1,914","1,856","1,928","1,724","1,551","1,697","1,832","1,713","1,572","1,188","1,244","11,574",49,"12,065",51,327,1.4,"1,745",7.4,"20,180",85.4,231,1,"1,156",4.9,"4,555",19.3,"6,565",27.8,"19,387",82,75.6%
7,2016-17,"19,877","1,341","1,183","1,336","1,347","1,251","1,252","1,221","1,240","1,150","1,245","2,003","2,049","1,573","1,686","9,285",46.7,"10,592",53.3,214,1.1,"5,235",26.3,"13,969",70.3,179,0.9,280,1.4,"4,746",23.9,"3,323",16.7,"18,154",91.3,85.9%
8,2016-17,"29,349","2,066","2,042","2,252","2,289","2,190","2,218","2,230","2,161","1,911","2,082","2,191","2,101","1,712","1,904","14,276",48.6,"15,073",51.4,"1,682",5.7,"6,602",22.5,"18,827",64.1,446,1.5,"1,792",6.1,"6,953",23.7,"3,823",13,"22,891",78,73.7%
9,2016-17,"36,433","2,614","2,792","3,034","2,927","2,856","2,865","2,820","2,714","2,625","2,743","2,384","2,292","1,901","1,866","17,848",49,"18,585",51,524,1.4,"10,410",28.6,"24,772",68,291,0.8,436,1.2,"7,901",21.7,"8,477",23.3,"32,386",88.9,86.6%
10,2016-17,"57,844","3,860","4,256","4,379","4,584","4,413","4,367","4,289","3,764","3,696","3,775","4,828","4,225","3,719","3,689","28,184",48.7,"29,660",51.3,"4,228",7.3,"9,202",15.9,"39,943",69.1,"1,065",1.8,"3,406",5.9,"11,396",19.7,"11,890",20.6,"46,194",79.9,76.0%
11,2016-17,"40,826","3,231","2,852","3,269","3,344","3,363","3,391","3,213","3,049","3,017","2,999","2,690","2,493","1,944","1,971","19,491",47.7,"21,333",52.3,"3,194",7.8,"16,311",40,"16,997",41.6,805,2,"3,519",8.6,"8,051",19.7,"4,384",10.7,"29,533",72.3,64.7%
12,2016-17,"24,354","1,434","1,760","1,945","1,952","1,936","1,855","1,821","1,686","1,618","1,703","1,752","1,862","1,544","1,486","11,947",49.1,"12,407",50.9,612,2.5,"6,074",24.9,"17,002",69.8,351,1.4,315,1.3,"5,474",22.5,"4,754",19.5,"21,556",88.5,85.3%
13,2016-17,"21,878","1,257","1,132","1,132","1,196","1,144","1,168","1,052",733,650,707,"3,143","3,049","2,666","2,849","10,425",47.7,"11,452",52.3,"4,335",19.8,"9,963",45.5,"3,602",16.5,745,3.4,"3,233",14.8,"3,129",14.3,967,4.4,"14,093",64.4,54.6%
14,2016-17,"19,630","1,461","1,258","1,260","1,283","1,290","1,303","1,215","1,163","1,292","1,283","1,752","1,791","1,681","1,598","9,321",47.5,"10,309",52.5,910,4.6,"4,304",21.9,"11,257",57.3,365,1.9,"2,794",14.2,"4,075",20.8,"2,164",11,"13,342",68,67.1%
15,2016-17,"33,083","2,799","3,154","3,190","3,130","3,089","3,030","2,809","2,032","1,922","1,731","1,764","1,710","1,418","1,305","16,679",50.4,"16,404",49.6,"5,377",16.3,"4,701",14.2,"12,233",37,"1,073",3.2,"9,699",29.3,"6,356",19.2,"5,341",16.1,"17,581",53.1,50.4%
16,2016-17,"7,209",747,506,511,574,553,558,520,360,372,364,496,453,527,668,"3,407",47.3,"3,802",52.7,137,1.9,"5,395",74.8,"1,372",19,135,1.9,170,2.4,"1,826",25.3,335,4.6,"5,858",81.3,78.7%
17,2016-17,"23,764","2,163","1,421","1,386","1,535","1,495","1,503","1,478","1,585","1,520","1,793","2,004","2,085","1,854","1,942","11,747",49.4,"12,017",50.6,684,2.9,"18,087",76.1,"3,592",15.1,511,2.2,890,3.7,"4,263",17.9,"2,458",10.3,"18,589",78.2,66.8%
18,2016-17,"16,508","1,464","1,045","1,120","1,183","1,165","1,331","1,178","1,112","1,058","1,175","1,171","1,265","1,066","1,175","8,058",48.8,"8,450",51.2,236,1.4,"14,284",86.5,"1,176",7.1,311,1.9,501,3,"3,030",18.4,980,5.9,"12,508",75.8,59.1%
19,2016-17,"23,428","1,988","1,721","1,836","1,792","1,838","1,892","1,812","1,690","1,585","1,676","1,547","1,451","1,198","1,402","11,170",47.7,"12,258",52.3,"1,786",7.6,"10,728",45.8,"10,036",42.8,444,1.9,434,1.9,"4,868",20.8,"2,962",12.6,"19,669",84,76.6%
20,2016-17,"54,379","4,251","4,251","4,091","4,330","4,095","4,167","4,102","3,996","3,932","3,915","3,645","3,775","2,827","3,002","26,126",48,"28,253",52,"23,532",43.3,"1,640",3,"14,115",26,589,1.1,"14,503",26.7,"8,099",14.9,"13,035",24,"38,214",70.3,61.9%
21,2016-17,"37,345","3,023","2,193","2,237","2,270","2,240","2,294","2,043","3,091","2,954","2,903","3,492","3,260","2,777","2,568","18,194",48.7,"19,151",51.3,"9,242",24.7,"5,663",15.2,"9,346",25,650,1.7,"12,444",33.3,"6,785",18.2,"6,283",16.8,"25,175",67.4,61.3%
22,2016-17,"35,679","2,809","2,662","2,804","2,871","2,777","2,931","2,782","2,088","2,096","2,134","2,710","2,727","2,137","2,151","17,580",49.3,"18,098",50.7,"6,950",19.5,"11,367",31.9,"5,422",15.2,681,1.9,"11,259",31.6,"5,895",16.5,"3,966",11.1,"24,024",67.3,52.2%
23,2016-17,"9,667",815,675,767,792,753,758,690,894,906,857,383,465,432,480,"4,480",46.3,"5,187",53.7,111,1.1,"7,228",74.8,"2,043",21.1,164,1.7,121,1.3,"2,384",24.7,444,4.6,"8,677",89.8,81.4%
24,2016-17,"61,268","4,009","4,914","5,124","5,047","5,157","5,083","4,803","4,344","4,356","4,258","3,935","3,683","3,152","3,403","28,976",47.3,"32,292",52.7,"12,309",20.1,"1,642",2.7,"38,110",62.2,685,1.1,"8,522",13.9,"9,941",16.2,"13,737",22.4,"42,405",69.2,56.5%
25,2016-17,"39,383","3,165","3,021","2,851","2,956","2,907","3,042","2,759","2,815","2,731","2,606","3,064","2,811","2,406","2,249","19,336",49.1,"20,047",50.9,"19,275",48.9,"3,049",7.7,"11,216",28.5,657,1.7,"5,186",13.2,"5,587",14.2,"7,335",18.6,"26,005",66,44.4%
26,2016-17,"32,963","1,799","1,747","1,858","1,857","1,877","2,015","1,853","1,912","2,031","1,951","4,131","3,618","3,445","2,869","16,045",48.7,"16,918",51.3,"17,318",52.5,"3,727",11.3,"5,559",16.9,763,2.3,"5,596",17,"4,594",13.9,"2,432",7.4,"18,229",55.3,30.1%
27,2016-17,"45,691","3,029","3,460","3,494","3,672","3,681","3,740","3,579","3,590","3,631","3,708","2,974","2,581","2,458","2,094","21,884",47.9,"23,807",52.1,"10,418",22.8,"10,634",23.3,"17,561",38.4,"2,334",5.1,"4,744",10.4,"7,993",17.5,"4,867",10.7,"33,911",74.2,55.0%
28,2016-17,"42,865","3,229","2,823","2,937","2,829","2,877","2,817","2,653","2,566","2,447","2,474","4,045","4,041","3,702","3,425","21,126",49.3,"21,739",50.7,"12,446",29,"9,580",22.3,"11,678",27.2,"2,232",5.2,"6,929",16.2,"6,505",15.2,"4,251",9.9,"28,049",65.4,46.6%
29,2016-17,"28,174","2,334","2,275","2,391","2,232","2,375","2,661","2,517","2,276","2,282","2,314","1,108","1,207","1,173","1,029","13,678",48.5,"14,496",51.5,"4,419",15.7,"17,770",63.1,"4,300",15.3,"1,161",4.1,524,1.9,"4,520",16,"2,274",8.1,"20,302",72.1,48.1%
30,2016-17,"41,440","3,203","3,052","3,140","3,109","3,021","3,173","3,022","3,441","3,095","3,325","3,018","2,652","2,077","2,112","20,444",49.3,"20,996",50.7,"9,076",21.9,"2,751",6.6,"22,051",53.2,870,2.1,"6,692",16.1,"5,970",14.4,"7,141",17.2,"27,524",66.4,55.0%
31,2016-17,"62,910","4,097","4,520","4,675","4,662","4,693","4,687","4,598","4,217","4,202","4,379","5,153","4,766","4,280","3,981","30,618",48.7,"32,292",51.3,"5,728",9.1,"8,179",13,"17,693",28.1,"1,343",2.1,"29,967",47.6,"14,839",23.6,"3,579",5.7,"34,627",55,42.4%
32,2016-17,"12,331","1,222",755,885,921,959,942,976,"1,117","1,086","1,062",623,781,539,463,"6,050",49.1,"6,281",50.9,243,2,"2,073",16.8,"9,688",78.6,79,0.6,248,2,"2,467",20,"2,343",19,"10,457",84.8,78.4%
75,2016-17,"24,604",334,"1,294","1,737","1,792","1,948","1,852","1,702","1,611","1,556","1,524","2,080","1,783","1,517","3,874","6,655",27,"17,949",73,"1,819",7.4,"9,076",36.9,"9,872",40.1,529,2.2,"3,308",13.4,"24,092",97.9,"5,335",21.7,"15,999",65,70.7%
79,2016-17,"5,829",0,0,0,0,0,0,0,5,21,168,460,"4,154",120,901,"2,057",35.3,"3,772",64.7,620,10.6,"2,275",39,"2,429",41.7,105,1.8,400,6.9,964,16.5,734,12.6,"2,684",46,68.8%
84,2016-17,"105,065",518,"11,049","11,370","10,877","10,306","8,426","8,453","9,433","8,814","7,195","6,320","5,146","3,865","3,293","53,357",50.8,"51,708",49.2,"2,606",2.5,"56,490",53.8,"39,389",37.5,"2,131",2,"4,449",4.2,"18,001",17.1,"7,119",6.8,"81,394",77.5,66.9%
1,2017-18,"11,632",800,851,846,854,862,839,813,786,798,843,729,959,905,747,"5,590",48.1,"6,042",51.9,"2,517",21.6,"1,800",15.5,"4,887",42,406,3.5,"2,022",17.4,"2,446",21,"1,013",8.7,"7,547",64.9,66.3%
2,2017-18,"63,497","2,558","3,193","2,961","2,873","2,750","2,777","2,864","2,743","2,580","2,548","9,515","9,609","8,353","8,173","33,172",52.2,"30,316",47.7,"14,213",22.4,"9,391",14.8,"20,623",32.5,"2,910",4.6,"16,360",25.8,"10,529",16.6,"5,348",8.4,"34,183",53.8,53.6%
3,2017-18,"22,667","1,144","1,295","1,388","1,442","1,437","1,401","1,361","1,390","1,464","1,427","2,353","2,370","2,234","1,961","12,192",53.8,"10,465",46.2,"1,875",8.3,"4,873",21.5,"7,332",32.3,"1,238",5.5,"7,349",32.4,"3,877",17.1,"1,136",5,"11,093",48.9,49.4%
4,2017-18,"13,230",889,831,918,978,"1,002",990,978,"1,001",972,962,966,"1,012",856,875,"6,740",50.9,"6,487",49,"1,078",8.1,"3,196",24.2,"7,985",60.4,356,2.7,615,4.6,"3,114",23.5,"1,369",10.3,"10,835",81.9,82.4%
5,2017-18,"11,632","1,033",677,728,753,805,829,785,740,785,782,"1,054","1,000",802,859,"5,491",47.2,"6,139",52.8,458,3.9,"5,708",49.1,"4,570",39.3,321,2.8,575,4.9,"2,635",22.7,"1,059",9.1,"9,568",82.3,83.0%
6,2017-18,"22,701","1,727","1,552","1,730","1,763","1,865","1,788","1,700","1,530","1,583","1,745","1,694","1,391","1,197","1,436","11,192",49.3,"11,508",50.7,319,1.4,"1,608",7.1,"19,316",85.1,258,1.1,"1,200",5.3,"4,343",19.1,"6,247",27.5,"19,348",85.2,83.5%
7,2017-18,"19,875","1,779","1,186","1,209","1,295","1,290","1,245","1,241","1,073","1,217","1,149","1,963","1,979","1,616","1,633","9,367",47.1,"10,508",52.9,213,1.1,"5,336",26.8,"13,817",69.5,214,1.1,295,1.5,"4,602",23.2,"3,282",16.5,"18,214",91.6,91.6%
8,2017-18,"28,728","2,077","1,981","2,063","2,183","2,210","2,142","2,208","2,112","2,160","1,942","2,035","1,946","1,794","1,875","13,977",48.7,"14,751",51.3,"1,703",5.9,"6,307",22,"18,504",64.4,448,1.6,"1,766",6.1,"6,655",23.2,"3,899",13.6,"23,814",82.9,82.1%
9,2017-18,"35,271","2,521","2,638","2,733","2,826","2,785","2,772","2,718","2,707","2,659","2,654","2,425","2,208","1,839","1,786","17,354",49.2,"17,917",50.8,525,1.5,"9,808",27.8,"24,187",68.6,288,0.8,463,1.3,"7,624",21.6,"8,076",22.9,"32,338",91.7,92.5%
10,2017-18,"56,752","3,743","4,110","4,230","4,191","4,335","4,278","4,201","3,936","3,825","3,796","4,595","4,267","3,617","3,628","27,734",48.9,"29,015",51.1,"4,343",7.7,"8,772",15.5,"39,322",69.3,854,1.5,"3,461",6.1,"10,846",19.1,"11,730",20.7,"47,181",83.1,83.1%
11,2017-18,"40,504","3,140","2,853","3,076","3,234","3,301","3,306","3,416","3,022","3,083","3,092","2,725","2,369","1,931","1,956","19,337",47.7,"21,166",52.3,"3,289",8.1,"15,734",38.8,"17,067",42.1,832,2.1,"3,582",8.8,"7,829",19.3,"4,660",11.5,"31,554",77.9,75.8%
12,2017-18,"23,401","1,418","1,617","1,751","1,889","1,873","1,891","1,841","1,609","1,705","1,645","1,508","1,691","1,508","1,455","11,442",48.9,"11,959",51.1,642,2.7,"5,760",24.6,"16,314",69.7,344,1.5,341,1.5,"5,106",21.8,"4,630",19.8,"21,390",91.4,92.1%
13,2017-18,"21,658","1,261","1,131","1,126","1,076","1,123","1,082","1,098",733,691,622,"3,051","3,152","2,762","2,750","10,196",47.1,"11,460",52.9,"4,425",20.4,"9,493",43.8,"3,582",16.5,663,3.1,"3,495",16.1,"3,016",13.9,932,4.3,"14,175",65.4,61.9%
14,2017-18,"18,831","1,435","1,227","1,211","1,229","1,213","1,252","1,235","1,194","1,141","1,290","1,596","1,654","1,469","1,685","8,968",47.6,"9,862",52.4,949,5,"3,934",20.9,"10,762",57.2,367,1.9,"2,819",15,"3,777",20.1,"2,105",11.2,"13,749",73,75.2%
15,2017-18,"33,200","2,728","3,117","3,123","3,051","3,054","2,994","2,953","2,108","1,981","1,914","1,665","1,746","1,442","1,324","16,730",50.4,"16,467",49.6,"5,358",16.1,"4,642",14,"12,004",36.2,"1,201",3.6,"9,995",30.1,"6,220",18.7,"5,025",15.1,"18,871",56.8,57.7%
16,2017-18,"6,839",689,524,478,496,583,509,507,307,320,362,503,479,461,621,"3,219",47.1,"3,620",52.9,148,2.2,"5,068",74.1,"1,320",19.3,125,1.8,178,2.6,"1,700",24.9,329,4.8,"5,771",84.4,85.5%
17,2017-18,"22,534","1,919","1,351","1,377","1,328","1,453","1,415","1,414","1,499","1,561","1,508","1,960","1,989","1,821","1,939","11,261",50,"11,272",50,666,3,"16,882",74.9,"3,526",15.6,543,2.4,917,4.1,"3,984",17.7,"2,452",10.9,"18,204",80.8,76.4%
18,2017-18,"15,707","1,404",975,"1,047","1,074","1,160","1,155","1,236","1,086","1,113","1,062","1,120","1,147",994,"1,134","7,585",48.3,"8,122",51.7,271,1.7,"13,406",85.4,"1,176",7.5,323,2.1,531,3.4,"2,933",18.7,"1,106",7,"12,169",77.5,70.5%
19,2017-18,"22,742","1,823","1,670","1,677","1,750","1,706","1,835","1,804","1,655","1,684","1,574","1,466","1,462","1,305","1,331","10,966",48.2,"11,776",51.8,"1,800",7.9,"10,012",44,"10,011",44,469,2.1,450,2,"4,607",20.3,"3,005",13.2,"19,882",87.4,86.2%
20,2017-18,"54,156","4,119","4,352","4,214","4,001","4,221","4,008","4,091","4,123","3,998","3,994","3,648","3,579","2,711","3,097","26,078",48.2,"28,075",51.8,"23,563",43.5,"1,536",2.8,"14,151",26.1,605,1.1,"14,301",26.4,"8,030",14.8,"12,738",23.5,"41,557",76.7,75.4%
21,2017-18,"37,423","2,980","2,278","2,187","2,212","2,287","2,241","2,223","3,113","3,053","2,990","3,347","3,281","2,520","2,711","18,120",48.4,"19,297",51.6,"9,515",25.4,"5,391",14.4,"9,270",24.8,712,1.9,"12,535",33.5,"6,634",17.7,"6,333",16.9,"27,473",73.4,72.3%
22,2017-18,"35,692","2,788","2,663","2,688","2,779","2,824","2,802","2,869","2,065","2,130","2,104","2,815","2,737","2,293","2,135","17,598",49.3,"18,091",50.7,"7,171",20.1,"10,851",30.4,"5,518",15.5,737,2.1,"11,415",32,"5,855",16.4,"4,234",11.9,"25,215",70.6,63.5%
23,2017-18,"9,539","1,047",632,683,714,766,727,694,863,878,883,352,436,394,470,"4,394",46.1,"5,145",53.9,108,1.1,"7,111",74.5,"2,032",21.3,159,1.7,129,1.4,"2,317",24.3,446,4.7,"8,568",89.8,88.3%
24,2017-18,"60,732","3,980","4,774","4,852","4,904","4,947","5,084","4,768","4,314","4,446","4,362","4,090","3,542","3,173","3,496","28,782",47.4,"31,948",52.6,"12,254",20.2,"1,574",2.6,"37,797",62.2,812,1.3,"8,295",13.7,"9,866",16.2,"13,186",21.7,"46,707",76.9,71.8%
25,2017-18,"39,585","3,098","3,036","3,015","2,790","2,906","2,879","3,005","2,826","2,796","2,761","2,960","2,705","2,490","2,318","19,398",49,"20,187",51,"19,490",49.2,"2,968",7.5,"11,434",28.9,724,1.8,"4,969",12.6,"5,455",13.8,"7,354",18.6,"27,655",69.9,62.1%
26,2017-18,"32,891","1,745","1,874","1,745","1,861","1,862","1,869","2,026","1,965","1,924","2,071","4,034","3,503","3,347","3,065","15,967",48.5,"16,920",51.4,"17,392",52.9,"3,706",11.3,"5,651",17.2,760,2.3,"5,382",16.4,"4,634",14.1,"2,497",7.6,"19,129",58.2,45.0%
27,2017-18,"44,879","2,994","3,314","3,401","3,403","3,575","3,534","3,701","3,542","3,602","3,636","3,157","2,632","2,228","2,160","21,556",48,"23,323",52,"10,230",22.8,"10,085",22.5,"17,445",38.9,"2,430",5.4,"4,689",10.4,"7,621",17,"4,996",11.1,"34,473",76.8,68.5%
28,2017-18,"42,671","3,298","2,751","2,827","2,820","2,784","2,845","2,748","2,588","2,533","2,474","3,996","3,884","3,624","3,499","21,111",49.5,"21,556",50.5,"12,503",29.3,"9,100",21.3,"11,666",27.3,"2,430",5.7,"6,972",16.3,"6,318",14.8,"4,449",10.4,"29,493",69.1,60.1%
29,2017-18,"27,663","2,343","2,206","2,283","2,375","2,231","2,374","2,613","2,303","2,206","2,268","1,073","1,135","1,076","1,177","13,395",48.4,"14,268",51.6,"4,446",16.1,"17,027",61.6,"4,366",15.8,"1,316",4.8,508,1.8,"4,243",15.3,"2,302",8.3,"20,417",73.8,61.4%
30,2017-18,"41,144","3,230","2,930","2,989","3,038","2,993","2,945","3,141","3,340","3,237","3,111","3,029","2,829","2,191","2,141","20,309",49.4,"20,835",50.6,"8,859",21.5,"2,674",6.5,"21,888",53.2,939,2.3,"6,784",16.5,"5,868",14.3,"7,001",17,"29,409",71.5,68.9%
31,2017-18,"62,537","3,948","4,412","4,610","4,662","4,612","4,669","4,645","4,359","4,229","4,198","4,941","4,929","4,218","4,105","30,610",48.9,"31,921",51,"6,232",10,"7,975",12.8,"17,771",28.4,"1,396",2.2,"29,163",46.6,"14,653",23.4,"3,837",6.1,"35,553",56.9,50.9%
32,2017-18,"11,537","1,012",687,758,856,853,907,930,"1,004","1,078","1,053",581,625,582,611,"5,616",48.7,"5,921",51.3,248,2.1,"1,948",16.9,"9,000",78,87,0.8,254,2.2,"2,360",20.5,"2,239",19.4,"10,305",89.3,87.5%
75,2017-18,"24,864",325,"1,455","1,638","1,831","1,838","1,951","1,866","1,588","1,636","1,559","1,987","1,776","1,544","3,870","6,643",26.7,"18,221",73.3,"1,971",7.9,"9,014",36.3,"9,953",40,610,2.5,"3,316",13.3,"24,459",98.4,"5,539",22.3,"21,328",85.8,88.2%
79,2017-18,"5,092",0,0,0,0,0,0,0,3,15,184,345,"3,800",105,640,"1,876",36.8,"3,216",63.2,562,11,"1,963",38.6,"2,149",42.2,105,2.1,313,6.1,879,17.3,621,12.2,"3,658",71.8,85.5%
84,2017-18,"113,528",533,"11,445","12,016","11,447","10,857","10,032","9,584","9,887","9,042","8,251","6,784","5,601","4,314","3,735","57,761",50.9,"55,766",49.1,"2,946",2.6,"60,025",52.9,"43,171",38,"2,408",2.1,"4,978",4.4,"19,125",16.8,"7,857",6.9,"88,879",78.3,73.8%
